Hit	DB	Accession	Description	Organism	Length	Score(Bits)	Identities(%)	Positives(%)	E()
129	TR	A0ACC5L512	Peptidoglycan-binding protein LysM OS=Salmonella enterica OX=28901 GN=lysM PE=4 SV=1	Salmonella enterica	149	724	94.0	96.6	3e-96
130	TR	A0A5Y7ACT8	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Infantis str. CFSAN000522 OX=1299258 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Infantis str. CFSAN000522	149	724	94.0	96.6	3e-96
131	TR	A0A5W7FB51	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Goldcoast OX=260678 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Goldcoast	149	724	94.0	96.6	3e-96
132	TR	A0A3Z1ECX7	Potassium binding protein Kbp OS=Salmonella paratyphi B (strain ATCC BAA-1250 / SPB7) OX=1016998 GN=SPAB_03471 PE=4 SV=1	Salmonella paratyphi B (strain ATCC BAA-1250 / SPB7)	149	724	94.0	96.6	3e-96
133	TR	Q8ZML9	Potassium binding protein Kbp OS=Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720) OX=99287 GN=ygaU PE=4 SV=1	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	149	724	94.0	96.6	3e-96
134	TR	A0A447NLP5	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Sanjuan OX=1160765 GN=ygaU PE=4 SV=1	Salmonella enterica subsp. enterica serovar Sanjuan	149	724	94.0	96.6	3e-96
135	TR	A0A0H3BT84	Potassium binding protein Kbp OS=Salmonella newport (strain SL254) OX=423368 GN=SNSL254_A2992 PE=4 SV=1	Salmonella newport (strain SL254)	149	724	94.0	96.6	3e-96
136	TR	B5RDC5	Potassium binding protein Kbp OS=Salmonella gallinarum (strain 287/91 / NCTC 13346) OX=550538 GN=ygaU PE=4 SV=1	Salmonella gallinarum (strain 287/91 / NCTC 13346)	149	724	94.0	96.6	3e-96
137	TR	A0A0F6B5J6	Potassium binding protein Kbp OS=Salmonella typhimurium (strain 14028s / SGSC 2262) OX=588858 GN=ygaU PE=4 SV=1	Salmonella typhimurium (strain 14028s / SGSC 2262)	149	724	94.0	96.6	3e-96
138	TR	Q57KX9	Potassium binding protein Kbp OS=Salmonella choleraesuis (strain SC-B67) OX=321314 GN=ygaU PE=4 SV=1	Salmonella choleraesuis (strain SC-B67)	149	724	94.0	96.6	3e-96
139	TR	G5RZF6	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Urbana str. R8-2977 OX=913084 GN=LTSEURB_4191 PE=4 SV=1	Salmonella enterica subsp. enterica serovar Urbana str. R8-2977	149	724	94.0	96.6	3e-96
140	TR	A0A657I4V0	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Crewe OX=2572727 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Crewe	149	724	94.0	96.6	3e-96
141	TR	M7RE21	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Dublin str. UC16 OX=1192688 GN=A670_03148 PE=4 SV=1	Salmonella enterica subsp. enterica serovar Dublin str. UC16	149	724	94.0	96.6	3e-96
142	TR	A0A5I8HS49	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Ouakam OX=1243585 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Ouakam	149	724	94.0	96.6	3e-96
143	TR	A0A6C7IF88	Potassium binding protein Kbp OS=Salmonella typhimurium (strain D23580) OX=568708 GN=STMMW_27621 PE=4 SV=1	Salmonella typhimurium (strain D23580)	149	724	94.0	96.6	3e-96
144	TR	G5R493	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Senftenberg str. A4-543 OX=913082 GN=LTSESEN_4375 PE=4 SV=1	Salmonella enterica subsp. enterica serovar Senftenberg str. A4-543	149	724	94.0	96.6	3e-96
145	TR	A0A447JDN3	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Daytona OX=1962639 GN=ygaU PE=4 SV=1	Salmonella enterica subsp. enterica serovar Daytona	149	724	94.0	96.6	3e-96
146	TR	A0A2C9NWW2	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Macclesfield str. S-1643 OX=1242107 GN=LFZ25_05775 PE=4 SV=1	Salmonella enterica subsp. enterica serovar Macclesfield str. S-1643	149	724	94.0	96.6	3e-96
147	TR	A0A5J0F8Y2	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Vitkin OX=2565162 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Vitkin	149	724	94.0	96.6	3e-96
148	TR	B5F318	Potassium binding protein Kbp OS=Salmonella agona (strain SL483) OX=454166 GN=SeAg_B2908 PE=4 SV=1	Salmonella agona (strain SL483)	149	724	94.0	96.6	3e-96
149	TR	A0A6C7CVH9	Potassium binding protein Kbp OS=Salmonella enterica subsp. salamae serovar 56:b:[1,5] OX=2577858 GN=DOE57_05950 PE=4 SV=1	Salmonella enterica subsp. salamae serovar 56:b:[1,5]	149	724	94.0	96.6	3e-96
150	TR	A0A0N1QVK4	Potassium binding protein Kbp OS=Salmonella schwarzengrund (strain CVM19633) OX=439843 GN=SeSA_A2940 PE=4 SV=1	Salmonella schwarzengrund (strain CVM19633)	149	724	94.0	96.6	3e-96
151	TR	A0A659LY92	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Wernigerode OX=2565187 GN=C9F01_21945 PE=4 SV=1	Salmonella enterica subsp. enterica serovar Wernigerode	149	724	94.0	96.6	3e-96
152	TR	A0A5W0T786	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Worthington OX=1160769 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Worthington	149	724	94.0	96.6	3e-96
153	TR	A0A5I0QUX6	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar London OX=149390 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar London	149	724	94.0	96.6	3e-96
154	TR	A0A3T3IF73	Potassium binding protein Kbp OS=Salmonella dublin OX=98360 GN=lysM PE=4 SV=1	Salmonella dublin	149	724	94.0	96.6	3e-96
155	TR	A0A5V7MAI7	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Poona OX=436295 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Poona	149	724	94.0	96.6	3e-96
156	TR	A0A486WYK6	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Stanley OX=192953 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Stanley	149	724	94.0	96.6	3e-96
157	TR	A0A3U9HMR5	Potassium binding protein Kbp OS=Salmonella infantis OX=595 GN=lysM PE=4 SV=1	Salmonella infantis	149	724	94.0	96.6	3e-96
158	TR	A0A4U8A502	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Chester OX=149386 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Chester	149	724	94.0	96.6	3e-96
159	TR	A0A1R2FSD3	Potassium binding protein Kbp OS=Salmonella enteritidis OX=149539 GN=lysM PE=4 SV=1	Salmonella enteritidis	149	724	94.0	96.6	3e-96
160	TR	A0A0D6IIZ9	Potassium binding protein Kbp OS=Salmonella typhimurium OX=90371 GN=lysM PE=4 SV=1	Salmonella typhimurium	149	724	94.0	96.6	3e-96
161	TR	A0A0M0PXR5	Potassium binding protein Kbp OS=Salmonella enterica OX=28901 GN=lysM PE=4 SV=1	Salmonella enterica	149	724	94.0	96.6	3e-96
162	TR	A0A2T8RQE5	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar 4,12:i:- OX=353569 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar 4,12:i:-	149	724	94.0	96.6	3e-96
163	TR	A0A4Y6M8Z7	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Indiana OX=286783 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Indiana	149	724	94.0	96.6	3e-96
164	TR	A0A2T8XJW8	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Gaminara OX=913070 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Gaminara	149	724	94.0	96.6	3e-96
165	TR	A0A2T9I9F3	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Agona OX=58095 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Agona	149	724	94.0	96.6	3e-96
166	TR	A0A265BC91	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Heidelberg OX=611 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Heidelberg	149	724	94.0	96.6	3e-96
167	TR	A0A5H6D859	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Mikawasima OX=149388 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Mikawasima	149	724	94.0	96.6	3e-96
168	TR	A0A5W0W4U5	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Typhimurium var. 5- OX=1620419 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	149	724	94.0	96.6	3e-96
169	TR	A0A5C5HHN3	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Give OX=46626 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Give	149	724	94.0	96.6	3e-96
170	TR	A0A5J1R8S0	Potassium binding protein Kbp OS=Salmonella muenster OX=82689 GN=lysM PE=4 SV=1	Salmonella muenster	149	724	94.0	96.6	3e-96
171	TR	A0A3V7I6Z0	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Weltevreden OX=57743 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Weltevreden	149	724	94.0	96.6	3e-96
172	TR	A0A0H3NF10	Potassium binding protein Kbp OS=Salmonella typhimurium (strain SL1344) OX=216597 GN=ygaU PE=4 SV=1	Salmonella typhimurium (strain SL1344)	149	724	94.0	96.6	3e-96
173	TR	A0A0R9P8B8	Potassium binding protein Kbp OS=Salmonella newport OX=108619 GN=lysM PE=4 SV=1	Salmonella newport	149	724	94.0	96.6	3e-96
174	TR	A0A5J1IID2	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Sandiego OX=1151002 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Sandiego	149	724	94.0	96.6	3e-96
175	TR	A0A659PDP0	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Wilhelmsburg OX=1960126 GN=C9E92_07310 PE=4 SV=1	Salmonella enterica subsp. enterica serovar Wilhelmsburg	149	724	94.0	96.6	3e-96
176	TR	A0A3V9PPS9	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Bredeney OX=134047 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Bredeney	149	724	94.0	96.6	3e-96
177	TR	A0A5Y0B7U7	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Johannesburg OX=913076 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Johannesburg	149	724	94.0	96.6	3e-96
178	TR	A0A3A3JAW1	Potassium binding protein Kbp OS=Salmonella montevideo OX=115981 GN=lysM PE=4 SV=1	Salmonella montevideo	149	724	94.0	96.6	3e-96
179	TR	A0A3R0HP33	Potassium binding protein Kbp OS=Salmonella senftenberg OX=28150 GN=lysM PE=4 SV=1	Salmonella senftenberg	149	724	94.0	96.6	3e-96
180	TR	A0A315I810	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar 4,[5],12:i:- OX=440524 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar 4,[5],12:i:-	149	724	94.0	96.6	3e-96
181	TR	A0A403SQY2	Potassium binding protein Kbp OS=Salmonella thompson OX=600 GN=lysM PE=4 SV=1	Salmonella thompson	149	724	94.0	96.6	3e-96
182	TR	A0A2T8LAI3	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Kentucky OX=192955 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Kentucky	149	724	94.0	96.6	3e-96
183	TR	A0A3W0AR03	Potassium binding protein Kbp OS=Salmonella derby OX=28144 GN=lysM PE=4 SV=1	Salmonella derby	149	724	94.0	96.6	3e-96
184	TR	A0A3G3DWP0	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Tennessee OX=143221 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Tennessee	149	724	94.0	96.6	3e-96
185	TR	A0A3Y4EE39	Potassium binding protein Kbp OS=Salmonella enterica I OX=59201 GN=lysM PE=4 SV=1	Salmonella enterica I	149	724	94.0	96.6	3e-96
186	TR	A0A3R8TFQ9	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Java OX=224729 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Java	149	724	94.0	96.6	3e-96
187	TR	A0A0F5B9R3	Potassium binding protein Kbp OS=Salmonella enterica subsp. salamae OX=59202 GN=lysM PE=4 SV=1	Salmonella enterica subsp. salamae	149	724	94.0	96.6	3e-96
188	TR	A0A5H8IMY7	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Reading OX=165302 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Reading	149	724	94.0	96.6	3e-96
189	TR	A0A3T2YFH0	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Panama OX=29472 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Panama	149	724	94.0	96.6	3e-96
190	TR	A0A5H9H354	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Uganda OX=487004 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Uganda	149	724	94.0	96.6	3e-96
191	TR	A0A0T9XGE2	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Bovismorbificans OX=58097 GN=ygaU PE=4 SV=1	Salmonella enterica subsp. enterica serovar Bovismorbificans	149	724	94.0	96.6	3e-96
192	TR	A0A6C7HT39	Potassium binding protein Kbp OS=Salmonella enteritidis PT4 (strain P125109) OX=550537 GN=ygaU PE=4 SV=1	Salmonella enteritidis PT4 (strain P125109)	149	724	94.0	96.6	3e-96
193	TR	A0A5U9QFD3	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Albany OX=211968 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Albany	149	724	94.0	96.6	3e-96
194	TR	A0A3T2ZJT7	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Schwarzengrund OX=340190 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Schwarzengrund	149	724	94.0	96.6	3e-96
195	TR	A0A3W0FDG0	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Litchfield OX=486998 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Litchfield	149	724	94.0	96.6	3e-96
196	TR	A0A4P9T5X5	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar 1,4,[5],12:i:- OX=2583588 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar 1,4,[5],12:i:-	149	724	94.0	96.6	3e-96
197	TR	A0A4Z8ZAJ7	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Bareilly OX=58096 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Bareilly	149	724	94.0	96.6	3e-96
198	TR	A0A418ZCW1	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Mbandaka OX=192954 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Mbandaka	149	724	94.0	96.6	3e-96
199	TR	A0A3V7PH21	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Javiana OX=363569 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Javiana	149	724	94.0	96.6	3e-96
200	TR	A0A5W2M1U4	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Lattenkamp OX=2564671 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Lattenkamp	149	724	94.0	96.6	3e-96
201	TR	A0A2T8MLA6	Potassium binding protein Kbp OS=Salmonella anatum OX=58712 GN=lysM PE=4 SV=1	Salmonella anatum	149	724	94.0	96.6	3e-96
202	TR	A0A3V2W3E1	Potassium binding protein Kbp OS=Salmonella hadar OX=149385 GN=lysM PE=4 SV=1	Salmonella hadar	149	724	94.0	96.6	3e-96
203	TR	A0A3V2FQM0	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Braenderup OX=149391 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Braenderup	149	724	94.0	96.6	3e-96
204	TR	A0A4Q8PD49	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Brancaster OX=2511819 GN=CC874_04995 PE=4 SV=1	Salmonella enterica subsp. enterica serovar Brancaster	149	724	94.0	96.6	3e-96
205	TR	A0A1S0ZJ58	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Saintpaul OX=90105 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Saintpaul	149	724	94.0	96.6	3e-96
206	TR	A0A5J0CG25	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Telelkebir OX=1967657 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Telelkebir	149	724	94.0	96.6	3e-96
207	TR	A0A2T9Q6H2	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Cerro OX=340188 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Cerro	149	724	94.0	96.6	3e-96
208	TR	A0A3T3ESI3	Potassium binding protein Kbp OS=Salmonella muenchen OX=596 GN=lysM PE=4 SV=1	Salmonella muenchen	149	724	94.0	96.6	3e-96
209	TR	A0A5Y7A507	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Choleraesuis str. CFSAN000515 OX=1299221 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Choleraesuis str. CFSAN000515	149	724	94.0	96.6	3e-96
210	TR	A0A8F2ZXA4	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Bovismorbificans str. Sal610 OX=1430436 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Bovismorbificans str. Sal610	149	724	94.0	96.6	3e-96
211	TR	A0A735IYU3	Potassium binding protein Kbp OS=Salmonella typhisuis OX=41529 GN=lysM PE=4 SV=1	Salmonella typhisuis	149	724	94.0	96.6	3e-96
212	TR	A0AA86B8X4	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120003 OX=1412467 GN=AU45_15070 PE=4 SV=1	Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120003	149	724	94.0	96.6	3e-96
213	TR	A0A4D6P8B8	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000189 OX=1173427 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000189	149	724	94.0	96.6	3e-96
214	TR	A0A729K9Q5	Potassium binding protein Kbp OS=Salmonella enterica subsp. houtenae serovar 18:z36,z38:- OX=2577510 GN=lysM PE=4 SV=1	Salmonella enterica subsp. houtenae serovar 18:z36,z38:-	149	724	94.0	96.6	3e-96
215	TR	A0A6W0M7U6	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Duisburg OX=174641 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Duisburg	149	724	94.0	96.6	3e-96
216	TR	A0A5H6AL89	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Offa OX=2564879 GN=DU925_19620 PE=4 SV=1	Salmonella enterica subsp. enterica serovar Offa	149	724	94.0	96.6	3e-96
217	TR	A0A3U8P9I9	Potassium binding protein Kbp OS=Salmonella berta OX=28142 GN=lysM PE=4 SV=1	Salmonella berta	149	724	94.0	96.6	3e-96
218	TR	A0A6V9XPZ4	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Decatur OX=1128761 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Decatur	149	724	94.0	96.6	3e-96
219	TR	A0A5V8Y5P9	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Kalamu OX=2564590 GN=DO575_17555 PE=4 SV=1	Salmonella enterica subsp. enterica serovar Kalamu	149	724	94.0	96.6	3e-96
220	TR	A0A5H6NYR6	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Adjame OX=2021403 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Adjame	149	724	94.0	96.6	3e-96
221	TR	A0A603BLH0	Potassium binding protein Kbp OS=Salmonella enterica subsp. salamae serovar 50:b:z6 OX=1967621 GN=lysM PE=4 SV=1	Salmonella enterica subsp. salamae serovar 50:b:z6	149	724	94.0	96.6	3e-96
222	TR	A0A5I0EYM6	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Kenya OX=2564610 GN=DOQ66_20785 PE=4 SV=1	Salmonella enterica subsp. enterica serovar Kenya	149	724	94.0	96.6	3e-96
223	TR	A0A5H9Q3N5	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Nima OX=940233 GN=DOW48_13365 PE=4 SV=1	Salmonella enterica subsp. enterica serovar Nima	149	724	94.0	96.6	3e-96
224	TR	A0A5W2AH97	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Pretoria OX=2564937 GN=DPD33_21060 PE=4 SV=1	Salmonella enterica subsp. enterica serovar Pretoria	149	724	94.0	96.6	3e-96
225	TR	A0A5I2DJT9	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Miami OX=286780 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Miami	149	724	94.0	96.6	3e-96
226	TR	A0A636KGQ9	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Uzaramo OX=2565147 GN=CC877_19400 PE=4 SV=1	Salmonella enterica subsp. enterica serovar Uzaramo	149	724	94.0	96.6	3e-96
227	TR	A0A737F0G6	Potassium binding protein Kbp OS=Salmonella enterica subsp. indica serovar 45:a:e,n,x OX=1307500 GN=lysM PE=4 SV=1	Salmonella enterica subsp. indica serovar 45:a:e,n,x	149	724	94.0	96.6	3e-96
228	TR	A0A5I8VDE8	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Stockholm OX=2565057 GN=DKU92_18685 PE=4 SV=1	Salmonella enterica subsp. enterica serovar Stockholm	149	724	94.0	96.6	3e-96
229	TR	A0A737NZF3	Potassium binding protein Kbp OS=Salmonella enterica subsp. houtenae serovar 44:z4,z24:- OX=1967610 GN=lysM PE=4 SV=1	Salmonella enterica subsp. houtenae serovar 44:z4,z24:-	149	724	94.0	96.6	3e-96
230	TR	A0A735L7B1	Potassium binding protein Kbp OS=Salmonella enterica subsp. houtenae serovar 16:z4,z32:- OX=1307497 GN=lysM PE=4 SV=1	Salmonella enterica subsp. houtenae serovar 16:z4,z32:-	149	724	94.0	96.6	3e-96
231	TR	A0A8E6KN01	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Paratyphi B str. CFSAN000540 OX=1299076 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Paratyphi B str. CFSAN000540	149	724	94.0	96.6	3e-96
232	TR	A0A5H7LD03	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Hvittingfoss OX=486994 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Hvittingfoss	149	724	94.0	96.6	3e-96
233	TR	A0A5I2XC50	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Ank OX=1173578 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Ank	149	724	94.0	96.6	3e-96
234	TR	A0A737VGP0	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Sendai OX=363568 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Sendai	149	724	94.0	96.6	3e-96
235	TR	A0A737HA08	Potassium binding protein Kbp OS=Salmonella enterica subsp. salamae serovar 42:f,g,t:-- OX=41518 GN=lysM PE=4 SV=1	Salmonella enterica subsp. salamae serovar 42:f,g,t:--	149	724	94.0	96.6	3e-96
236	TR	A0AA86EP00	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120686 OX=1412607 GN=AV85_15055 PE=4 SV=1	Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120686	149	724	94.0	96.6	3e-96
237	TR	A0AA86K943	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Enteritidis str. EC20100134 OX=1412465 GN=AU43_13380 PE=4 SV=1	Salmonella enterica subsp. enterica serovar Enteritidis str. EC20100134	149	724	94.0	96.6	3e-96
238	TR	A0A8T9IMK5	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Abeokuta OX=2926665 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Abeokuta	149	724	94.0	96.6	3e-96
239	TR	A0A5I9BEJ8	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Eko OX=2564391 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Eko	149	724	94.0	96.6	3e-96
240	TR	A0AAT9MID6	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Abaetetuba str. ATCC 35640 OX=1208611 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Abaetetuba str. ATCC 35640	149	724	94.0	96.6	3e-96
241	TR	A0A8E6NGB1	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Paratyphi B str. CFSAN000542 OX=1299078 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Paratyphi B str. CFSAN000542	149	724	94.0	96.6	3e-96
242	TR	A0A5I4X2P5	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Durban OX=486992 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Durban	149	724	94.0	96.6	3e-96
243	TR	A0A731Y0R7	Potassium binding protein Kbp OS=Salmonella enterica subsp. VII serovar 40:z4,z24:[z39] OX=1967625 GN=lysM PE=4 SV=1	Salmonella enterica subsp. VII serovar 40:z4,z24:[z39]	149	724	94.0	96.6	3e-96
244	TR	A0A752RSK4	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Carrau OX=1160739 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Carrau	149	724	94.0	96.6	3e-96
245	TR	A0A5V6VW61	Potassium binding protein Kbp OS=Salmonella ordonez OX=612 GN=DL145_21325 PE=4 SV=1	Salmonella ordonez	149	724	94.0	96.6	3e-96
246	TR	A0AA86K5S4	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Enteritidis str. EC20100130 OX=1412464 GN=AU42_13355 PE=4 SV=1	Salmonella enterica subsp. enterica serovar Enteritidis str. EC20100130	149	724	94.0	96.6	3e-96
247	TR	A0A509BC47	Potassium binding protein Kbp OS=Salmonella sp. NCTC 3046 OX=2583580 GN=ygaU PE=4 SV=1	Salmonella sp. NCTC 3046	149	724	94.0	96.6	3e-96
248	TR	A0AAT9MUU0	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Newport str. WA_14882 OX=997339 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Newport str. WA_14882	149	724	94.0	96.6	3e-96
